Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
44,Male,"White (non-hispanic),Asian",46321,12,"With spouse, significant other, and/or children",1,0,216,Four-year college,About once a month,A few times a month,About once a month,About once a month,0,0,3,0,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
44,Male,"White (non-hispanic),Hispanic",4976,12,Living alone,4,0,10,Some college/associate's degree,Less often,A few times a month,Less often,Less often,0,1,9,0,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
44,Male,Asian,94109,12,"With spouse, significant other, and/or children",5+,0,100,Four-year college,At least once a week,A few times a month,About once a month,Less often,0,5,30,3,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
44,Female,White (non-hispanic),62297,14,"With spouse, significant other, and/or children",1,0.4,174,Master's or post-graduate professional degree,At least once a week,A few times a month,Less often,Less often,4,1,0,1,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
44,Female,White (non-hispanic),76082,19,"With spouse, significant other, and/or children",1,0,120,Master's or post-graduate professional degree,Less often,Less often,Less often,Less often,2,0,2,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
44,Female,White (non-hispanic),72927,14,"With spouse, significant other, and/or children",1,0.1,81,Some college/associate's degree,About once a month,Less often,Less often,Daily,9,5,0,5,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
44,Female,White (non-hispanic),59901,4,"With spouse, significant other, and/or children",1,0.8,21,Some college/associate's degree,At least once a week,Less often,Less often,Less often,0,0,20,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree
44,Female,White (non-hispanic),47802,44,"With spouse, significant other, and/or children",1,0,26,High school,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
44,Female,White (non-hispanic),15102,19,"With spouse, significant other, and/or children",1,0,234,Four-year college,A few times a month,A few times a month,A few times a month,Less often,3,2,10,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
44,Male,White (non-hispanic),33009,12,"With spouse, significant other, and/or children",3,0,80,Four-year college,Less often,Daily,Daily,Daily,5,25,4,2,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
44,Female,"White (non-hispanic),Hispanic,American Indian or Alaska Native",75154,10,"With spouse, significant other, and/or children",1,0,42,High school,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
44,Female,White (non-hispanic),44107,19,"With spouse, significant other, and/or children",1,0.4,68,Master's or post-graduate professional degree,A few times a month,At least once a week,A few times a month,Less often,0,6,6,0,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree
44,Male,White (non-hispanic),34450,7,Living alone,1,0.2,52,Four-year college,Less often,A few times a month,Less often,Less often,0,2,2,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
44,Female,White (non-hispanic),96778,5,"With spouse, significant other, and/or children",1,0,125,Some college/associate's degree,Less often,A few times a month,Less often,Less often,0,25,25,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
44,Female,Hispanic,93313,44,"With spouse, significant other, and/or children",1,0.2,82,Some college/associate's degree,About once a month,About once a month,Less often,About once a month,25,20,1,20,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree
43,Female,White (non-hispanic),37821,4,"With spouse, significant other, and/or children",1,0,40,Master's or post-graduate professional degree,At least once a week,About once a month,Less often,Daily,1,1,1,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
43,Male,White (non-hispanic),38122,2,"With spouse, significant other, and/or children",1,0.2,51,Some high school or less,At least once a week,Less often,Less often,Daily,0,0,0,5,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
43,Female,White (non-hispanic),90604,13,"With spouse, significant other, and/or children",1,0,166,Four-year college,At least once a week,A few times a month,A few times a month,Less often,6,2,4,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
43,Female,White (non-hispanic),80501,16,"With spouse, significant other, and/or children",1,0,215,Master's or post-graduate professional degree,Less often,About once a month,Less often,Less often,Dina,Sara,Sheila,Bryan,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
43,Female,White (non-hispanic),26525,32,Living alone,4,0.5,15,High school,Less often,A few times a month,About once a month,Daily,0,2,1,0,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
43,Female,White (non-hispanic),78701,3,Living alone,1,,16,Four-year college,A few times a month,Less often,Less often,Less often,0,4,200,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
43,Female,White (non-hispanic),60545,20,"With spouse, significant other, and/or children",5+,2,361,Some college/associate's degree,About once a month,A few times a month,At least once a week,Daily,0,2,0,2,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
43,Male,White (non-hispanic),20152,4,"With spouse, significant other, and/or children",3,0,165,Four-year college,A few times a month,A few times a month,A few times a month,Less often,0,1,5,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
43,Female,White (non-hispanic),28516,20,"With spouse, significant other, and/or children",1,0.1,109,Master's or post-graduate professional degree,At least once a week,Less often,Less often,About once a month,7,0,0,2,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
43,Female,Other,29153,6,Other (please specify),1,0,29,Some college/associate's degree,About once a month,Less often,Less often,Less often,9,1,2,0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree
43,Female,White (non-hispanic),27601,10,"With spouse, significant other, and/or children",1,0,72,Four-year college,Less often,About once a month,About once a month,About once a month,0,2,5,4,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
43,Male,White (non-hispanic),37188,1,"With spouse, significant other, and/or children",1,0,145,Some college/associate's degree,Less often,Less often,About once a month,At least once a week,8,4,2,4,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
43,Male,White (non-hispanic),2914,11,"With spouse, significant other, and/or children",3,2,66,Four-year college,At least once a week,About once a month,Less often,Less often,0,2,30,25,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree
43,Female,White (non-hispanic),74354,3,"With spouse, significant other, and/or children",1,0,21,Four-year college,A few times a month,Less often,Less often,Less often,3,1,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
43,Female,White (non-hispanic),23958,1,"With spouse, significant other, and/or children",1,,56,High school,Daily,At least once a week,At least once a week,Less often,3,7,1,0,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
43,Female,White (non-hispanic),46307,9,Living alone,1,0.2,42,Master's or post-graduate professional degree,Less often,A few times a month,Less often,A few times a month,0,10,0,10,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
43,Male,White (non-hispanic),89052,5,Living alone,1,0,31,Four-year college,Less often,About once a month,Less often,Less often,0,1,0,0,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
42,Male,White (non-hispanic),80033,7,Living alone,5+,1,45,Some college/associate's degree,At least once a week,At least once a week,Less often,Less often,3,10,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
42,Male,White (non-hispanic),44011,15,With other family,1,0.6,80,Some college/associate's degree,At least once a week,At least once a week,At least once a week,At least once a week,2,3,6,1,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
42,Male,White (non-hispanic),95123,40,Living alone,1,0,149,Four-year college,At least once a week,At least once a week,A few times a month,At least once a week,30,20,10,5,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
42,Female,White (non-hispanic),35206,13,"With spouse, significant other, and/or children",1,0.5,82,Master's or post-graduate professional degree,A few times a month,A few times a month,Less often,Daily,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
42,Male,Asian,34747,7,"With spouse, significant other, and/or children",1,0.3,70,Four-year college,Less often,About once a month,Less often,About once a month,0,3,2,5,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
42,Female,White (non-hispanic),2908,20,With other family,1,0.3,79,Master's or post-graduate professional degree,Daily,Daily,About once a month,Daily,6,12,5,4,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
42,Female,Asian,96706,1,"With spouse, significant other, and/or children",2,0.5,125,High school,Daily,A few times a month,About once a month,Daily,4,7,3,12,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
42,Male,White (non-hispanic),62223,10,"With spouse, significant other, and/or children",1,0.3,40,Some college/associate's degree,Less often,Less often,Less often,Daily,0,2,15,30,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
42,Male,White (non-hispanic),48466,3,Living alone,1,0,50,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree
42,Female,White (non-hispanic),6512,2,Other (please specify),1,0.2,68,High school,Less often,Daily,About once a month,Daily,0,2,1,5,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
42,Male,White (non-hispanic),31794,10,"With spouse, significant other, and/or children",1,1.1,36,Master's or post-graduate professional degree,About once a month,A few times a month,Less often,About once a month,10,5,2,2,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
42,Male,White (non-hispanic),36784,2,Living alone,1,0.1,31,Four-year college,Less often,At least once a week,Less often,Less often,0,1,0,1,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree
42,Female,White (non-hispanic),43119,18,"With spouse, significant other, and/or children",1,0,60,High school,About once a month,Less often,Less often,Less often,2,0,0,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
42,Female,White (non-hispanic),62959,42,"With spouse, significant other, and/or children",1,0,155,Some college/associate's degree,Less often,Less often,Less often,A few times a month,0,1,0,4,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
42,Female,White (non-hispanic),98103,5,Living alone,1,0.2,45,Some college/associate's degree,About once a month,About once a month,Less often,A few times a month,0,5,0,6,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
