Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
62,Male,White (non-hispanic),48186,24,"With spouse, significant other, and/or children",1,0,40,Some college/associate's degree,A few times a month,A few times a month,Less often,Less often,6,2,0,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
62,Male,White (non-hispanic),44460,7,"With spouse, significant other, and/or children",1,0,92,Some college/associate's degree,About once a month,A few times a month,A few times a month,A few times a month,0,0,3,0,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
61,Male,Black or African American,89115,1,Living alone,2,0,3,Some college/associate's degree,Less often,Less often,Less often,Less often,0,0,7,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree
61,Male,White (non-hispanic),60096,2,"With spouse, significant other, and/or children",1,0,50,Four-year college,About once a month,About once a month,Less often,Less often,0,0,20,0,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
61,Male,White (non-hispanic),34119,8,"With spouse, significant other, and/or children",2,0,35,Master's or post-graduate professional degree,Less often,About once a month,About once a month,Less often,0,0,2,0,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
61,Female,White (non-hispanic),64078,18,"With spouse, significant other, and/or children",1,0,125,Some college/associate's degree,About once a month,A few times a month,Less often,At least once a week,0,10,0,0,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
61,Female,White (non-hispanic),34145,2,Living alone,4,0,64,Some college/associate's degree,Less often,At least once a week,At least once a week,Less often,0,2,5,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
61,Female,White (non-hispanic),60146,33,Living alone,1,0,20,Some college/associate's degree,At least once a week,At least once a week,At least once a week,Less often,4,3,8,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
60,Female,White (non-hispanic),33486,8,"With spouse, significant other, and/or children",5+,0,35,Some college/associate's degree,A few times a month,Less often,Less often,Less often,4,0,0,0,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
60,Female,White (non-hispanic),11726,60,With other family,1,0.5,74,High school,Less often,About once a month,Less often,Less often,1,2,0,0,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
60,Female,White (non-hispanic),90027,2,Living alone,5+,0,23,Four-year college,At least once a week,A few times a month,Less often,Less often,2,0,0,0,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
